race_date,race_num,pattern,honmei,niban,sanban,first,second,third,tan_hit,niren_hit,sanren_hit,sanrenpuku_hit,bet,return,profit,hits
20260430,1R,B,3,1,2,3,2,1,1,0,0,1,700,3010,2310,3
20260430,2R,B,2,1,5,2,1,5,1,1,1,1,800,6725,5925,4
20260430,3R,B,5,2,1,3,5,2,0,0,0,0,700,0,-700,0
20260430,4R,A,3,2,1,1,2,6,0,0,0,0,500,0,-500,0
20260430,5R,B,4,2,1,4,1,2,1,0,0,1,800,520,-280,1
20260430,7R,C,3,1,5,1,3,2,0,0,0,0,400,290,-110,1
20260430,8R,B,3,1,2,1,2,3,0,0,0,1,700,560,-140,1
20260430,9R,B,1,4,3,1,3,6,1,0,0,0,700,240,-460,1
20260430,10R,B,5,2,3,1,2,3,0,0,0,0,700,0,-700,0
20260430,11R,B,4,3,5,1,4,5,0,0,0,0,800,0,-800,0
20260430,12R,B,1,5,2,1,5,2,1,1,1,1,700,3140,2440,4
20260429,1R,A,1,4,3,4,1,3,0,0,0,1,400,400,0,1
20260429,2R,B,4,3,1,1,3,5,0,0,0,0,700,0,-700,0
20260429,3R,A,3,1,5,3,4,5,1,0,0,0,500,100,-400,1
20260429,4R,B,3,2,1,3,2,5,1,1,0,0,700,900,200,1
20260429,5R,A,1,2,4,1,4,6,1,0,0,0,400,120,-280,1
20260429,6R,B,3,2,1,1,2,3,0,0,0,1,700,420,-280,1
20260429,7R,B,1,2,4,1,5,6,1,0,0,0,800,100,-700,1
20260429,8R,B,1,3,5,1,2,6,1,0,0,0,600,100,-500,1
20260429,9R,C,4,1,3,1,3,4,0,0,0,1,400,580,180,1
